Idx,elevation,azimuth,X,Y,x_light,y_light
260,73.1578,90,-4.18365e-08,0.957107,-0.0463654,-0.163327
261,45,180,-0.707107,-6.18172e-08,0.114175,0.0306487
262,45,180,-0.707107,-6.18172e-08,0.115322,0.0311037
263,45,180,-0.707107,-6.18172e-08,0.114841,0.0313653
264,45,180,-0.707107,-6.18172e-08,0.114316,0.0312507
265,45,180,-0.707107,-6.18172e-08,0.114997,0.0303616
266,45.8161,180,-0.717107,-6.26915e-08,0.116922,0.0312479
267,45.8161,180,-0.717107,-6.26915e-08,0.117388,0.031375
268,45.8161,180,-0.717107,-6.26915e-08,0.117022,0.0310828
269,45.8161,180,-0.717107,-6.26915e-08,0.117307,0.0308845
270,45.8161,180,-0.717107,-6.26915e-08,0.117533,0.0316777
271,46.6444,180,-0.727107,-6.35657e-08,0.120359,0.0311817
272,46.6444,180,-0.727107,-6.35657e-08,0.119797,0.0314375
273,46.6444,180,-0.727107,-6.35657e-08,0.119952,0.0313504
274,46.6444,180,-0.727107,-6.35657e-08,0.12015,0.0315221
275,46.6444,180,-0.727107,-6.35657e-08,0.119943,0.0310019
276,47.4855,180,-0.737107,-6.44399e-08,0.122363,0.0308626
277,47.4855,180,-0.737107,-6.44399e-08,0.122418,0.0314873
278,47.4855,180,-0.737107,-6.44399e-08,0.122585,0.0306644
279,47.4855,180,-0.737107,-6.44399e-08,0.122653,0.0310029
280,47.4855,180,-0.737107,-6.44399e-08,0.121981,0.0314499
281,48.3404,180,-0.747107,-6.53141e-08,0.12531,0.0319603
282,48.3404,180,-0.747107,-6.53141e-08,0.125245,0.0311809
283,48.3404,180,-0.747107,-6.53141e-08,0.125062,0.0315889
284,48.3404,180,-0.747107,-6.53141e-08,0.12468,0.0314494
285,48.3404,180,-0.747107,-6.53141e-08,0.124477,0.0312652
286,49.2098,180,-0.757107,-6.61884e-08,0.127534,0.0314994
287,49.2098,180,-0.757107,-6.61884e-08,0.127888,0.031516
288,49.2098,180,-0.757107,-6.61884e-08,0.128142,0.0310941
289,49.2098,180,-0.757107,-6.61884e-08,0.127903,0.0309414
290,49.2098,180,-0.757107,-6.61884e-08,0.126696,0.0314922
291,50.0948,180,-0.767107,-6.70626e-08,0.128892,0.0307955
292,50.0948,180,-0.767107,-6.70626e-08,0.129384,0.0313163
293,50.0948,180,-0.767107,-6.70626e-08,0.1289,0.0317856
294,50.0948,180,-0.767107,-6.70626e-08,0.12992,0.0315388
295,50.0948,180,-0.767107,-6.70626e-08,0.129593,0.0316587
296,50.9964,180,-0.777107,-6.79368e-08,0.132087,0.0309309
297,50.9964,180,-0.777107,-6.79368e-08,0.131994,0.0307514
298,50.9964,180,-0.777107,-6.79368e-08,0.131157,0.0315332
299,50.9964,180,-0.777107,-6.79368e-08,0.132066,0.0311798
300,50.9964,180,-0.777107,-6.79368e-08,0.131911,0.0323966
301,51.9159,180,-0.787107,-6.88111e-08,0.135132,0.0320195
302,51.9159,180,-0.787107,-6.88111e-08,0.134525,0.0320097
303,51.9159,180,-0.787107,-6.88111e-08,0.135247,0.0317776
304,51.9159,180,-0.787107,-6.88111e-08,0.134787,0.0322443
305,51.9159,180,-0.787107,-6.88111e-08,0.133461,0.0307783
306,52.8547,180,-0.797107,-6.96853e-08,0.137138,0.0317443
307,52.8547,180,-0.797107,-6.96853e-08,0.13729,0.0328476
308,52.8547,180,-0.797107,-6.96853e-08,0.136432,0.0325983
309,52.8547,180,-0.797107,-6.96853e-08,0.136164,0.0314602
310,52.8547,180,-0.797107,-6.96853e-08,0.136303,0.0318648
311,53.8142,180,-0.807107,-7.05595e-08,0.138451,0.0318432
312,53.8142,180,-0.807107,-7.05595e-08,0.138852,0.0322652
313,53.8142,180,-0.807107,-7.05595e-08,0.13816,0.0319602
314,53.8142,180,-0.807107,-7.05595e-08,0.138787,0.032276
315,53.8142,180,-0.807107,-7.05595e-08,0.138052,0.0315754
316,54.7962,180,-0.817107,-7.14337e-08,0.140359,0.0321972
317,54.7962,180,-0.817107,-7.14337e-08,0.140847,0.0318872
318,54.7962,180,-0.817107,-7.14337e-08,0.140057,0.0321493
319,54.7962,180,-0.817107,-7.14337e-08,0.13966,0.0315399
320,54.7962,180,-0.817107,-7.14337e-08,0.141756,0.0316631
321,55.8027,180,-0.827107,-7.2308e-08,0.142958,0.0321523
322,55.8027,180,-0.827107,-7.2308e-08,0.14193,0.0312052
323,55.8027,180,-0.827107,-7.2308e-08,0.141462,0.0321053
324,55.8027,180,-0.827107,-7.2308e-08,0.142481,0.0318412
325,55.8027,180,-0.827107,-7.2308e-08,0.14254,0.0320715
326,56.8358,180,-0.837107,-7.31822e-08,0.14364,0.0321707
327,56.8358,180,-0.837107,-7.31822e-08,0.142697,0.0318317
328,56.8358,180,-0.837107,-7.31822e-08,0.143192,0.0312793
329,56.8358,180,-0.837107,-7.31822e-08,0.14341,0.0307349
330,56.8358,180,-0.837107,-7.31822e-08,0.143764,0.0322808
331,57.8983,180,-0.847107,-7.40564e-08,0.1452,0.03121
332,57.8983,180,-0.847107,-7.40564e-08,0.14445,0.0321067
333,57.8983,180,-0.847107,-7.40564e-08,0.144083,0.0319576
334,57.8983,180,-0.847107,-7.40564e-08,0.144081,0.0310763
335,57.8983,180,-0.847107,-7.40564e-08,0.144602,0.0306954
