id,X,Y,x_light,y_light,Extrapolated
205,-0.86002,-0.27121,0.2304,0.0768,False
206,-0.90617,-0.25837,0.256,0.0768,False
207,0.9492306334987243,-0.17028124697178387,-0.3072,0.0512,True
208,0.89811,-0.18319,-0.2816,0.0512,False
209,0.84276,-0.19577,-0.256,0.0512,False
210,0.78057,-0.20657,-0.2304,0.0512,False
211,0.71091,-0.21435,-0.2048,0.0512,False
212,0.63215,-0.22454,-0.1792,0.0512,False
213,0.54727,-0.23304,-0.1536,0.0512,False
214,0.45435,-0.23908,-0.128,0.0512,False
215,0.3575,-0.24761,-0.1024,0.0512,False
216,0.25294,-0.2498,-0.0768,0.0512,False
217,0.14711,-0.25411,-0.0512,0.0512,False
218,0.03898,-0.25242,-0.0256,0.0512,False
219,-0.06395,-0.25046,0.0,0.0512,False
220,-0.17085,-0.25034,0.0256,0.0512,False
221,-0.28031,-0.24688,0.0512,0.0512,False
222,-0.38218,-0.23848,0.0768,0.0512,False
223,-0.48069,-0.23159,0.1024,0.0512,False
224,-0.57282,-0.22429,0.128,0.0512,False
225,-0.6584,-0.21355,0.1536,0.0512,False
226,-0.73747,-0.20381,0.1792,0.0512,False
227,-0.80651,-0.19278,0.2048,0.0512,False
228,-0.86873,-0.18762,0.2304,0.0512,False
229,-0.91482,-0.17547,0.256,0.0512,False
230,0.95,-0.093692433142226,-0.3072,0.0256,True
231,0.90376,-0.09834,-0.2816,0.0256,False
232,0.85102,-0.10966,-0.256,0.0256,False
233,0.78814,-0.11755,-0.2304,0.0256,False
234,0.71566,-0.12351,-0.2048,0.0256,False
235,0.63656,-0.1289,-0.1792,0.0256,False
236,0.55495,-0.13329,-0.1536,0.0256,False
237,0.46346,-0.13743,-0.128,0.0256,False
238,0.3624,-0.14285,-0.1024,0.0256,False
239,0.2571,-0.14454,-0.0768,0.0256,False
240,0.14659,-0.14355,-0.0512,0.0256,False
241,0.04179,-0.14207,-0.0256,0.0256,False
242,-0.062,-0.14174,0.0,0.0256,False
243,-0.16914,-0.14127,0.0256,0.0256,False
244,-0.27559,-0.13913,0.0512,0.0256,False
245,-0.3852,-0.13484,0.0768,0.0256,False
246,-0.48328,-0.13196,0.1024,0.0256,False
247,-0.57967,-0.12314,0.128,0.0256,False
248,-0.66307,-0.11524,0.1536,0.0256,False
249,-0.7428,-0.11281,0.1792,0.0256,False
250,-0.81309,-0.10556,0.2048,0.0256,False
251,-0.87303,-0.10124,0.2304,0.0256,False
252,-0.92088,-0.09529,0.256,0.0256,False
253,0.95,-0.017732230772211883,-0.3072,0.0,True
254,0.90821,-0.02085,-0.2816,0.0,False
255,0.8521,-0.02737,-0.256,0.0,False
256,0.78851,-0.03037,-0.2304,0.0,False
257,0.72003,-0.0299,-0.2048,0.0,False
258,0.64078,-0.03363,-0.1792,0.0,False
259,0.55692,-0.03524,-0.1536,0.0,False
260,0.46639,-0.03598,-0.128,0.0,False
