Idx,X,Y,X_interp,Y_interp,azimuth,elevation,azimuth_interp,elevation_interp,x_light,y_light
22,-0.052336,-4.57535e-09,-0.0535,0.0008,180,3,179.143,3.06714,0.0265003,-0.0189369
23,-0.026168,-0.0453243,-0.0274,-0.0411,240,3,236.31,2.83131,0.0196722,-0.00885958
24,0.026168,-0.0453243,0.0255,-0.0414,300,3,301.631,2.78699,0.0074137,-0.00851726
25,0.0697565,-3.46029e-17,0.0714,-0.0024,-2.84217e-14,4,358.075,4.09672,-0.00286614,-0.0185664
26,0.0348782,0.0604109,0.0336,0.0597,60,4,60.6286,3.92815,0.0055415,-0.0336469
27,-0.0348782,0.0604109,-0.0307,0.0626,120,4,116.124,3.99807,0.0220594,-0.0331318
28,-0.0697565,-6.0983e-09,-0.0728,0.0046,180,4,176.384,4.18315,0.0302265,-0.0193898
29,-0.0348782,-0.0604109,-0.0357,-0.0638,240,4,240.77,4.1926,0.0219241,-0.00490669
30,0.0348782,-0.0604109,0.0366,-0.0608,300,4,301.047,4.06948,0.00492207,-0.00478063
31,0.0871557,-4.32338e-17,0.0907,0.0014,-2.84217e-14,5,0.884319,5.20451,-0.00724218,-0.0189878
32,0.0435779,0.0754791,0.0447,0.0785,60,5,60.3417,5.18285,0.00350639,-0.0369302
33,-0.0435779,0.0754791,-0.0416,0.0735,120,5,119.509,4.84472,0.023942,-0.0364015
34,-0.0871557,-7.6194e-09,-0.0879,0.0043,180,5,177.199,5.04884,0.0346362,-0.018792
35,-0.0435779,-0.0754791,-0.0435,-0.0792,240,5,241.223,5.18429,0.023728,-0.00109339
36,0.0435779,-0.0754791,0.044,-0.0764,300,5,299.938,5.05803,0.0028004,-0.0012083
37,0.104528,-5.18516e-17,0.1066,0.0022,-2.84217e-14,6,1.1823,6.12068,-0.0114218,-0.0183519
38,0.0522642,0.0905243,0.0484,0.0921,60,6,62.2774,5.97205,0.00127327,-0.040673
39,-0.0522642,0.0905243,-0.0504,0.0907,120,6,119.06,5.95588,0.0256608,-0.0404591
40,-0.104528,-9.13817e-09,-0.1049,-0.003,180,6,181.638,6.02389,0.0387912,-0.0187875
41,-0.0522642,-0.0905243,-0.0559,-0.0907,240,6,238.354,6.11603,0.0259027,0.00193518
42,0.0522642,-0.0905243,0.0548,-0.0883,300,6,301.824,5.96509,0.00092681,0.00218157
43,0.121869,-6.04536e-17,0.1191,-0.0011,-2.84217e-14,7,359.471,6.84046,-0.0150851,-0.0183638
44,0.0609347,0.105542,0.0554,0.1087,60,7,62.9939,7.00773,-0.000374004,-0.0441612
45,-0.0609347,0.105542,-0.0588,0.1067,120,7,118.858,6.99768,0.027893,-0.0437991
46,-0.121869,-1.06542e-08,-0.1209,-0.0029,180,7,181.374,6.94605,0.0429136,-0.0190647
47,-0.0609347,-0.105542,-0.059,-0.1028,240,7,240.147,6.80714,0.0281745,0.00550338
48,0.0609347,-0.105542,0.0589,-0.1083,300,7,298.54,7.08147,-0.00101808,0.00606547
49,0.139173,-6.90371e-17,0.1427,-0.0012,-2.84217e-14,8,359.518,8.2044,-0.0193291,-0.0188408
50,0.0695865,0.120527,0.0674,0.1202,60,8,60.7192,7.92097,-0.00267111,-0.0472758
51,-0.0695866,0.120527,-0.0664,0.1223,120,8,118.499,7.99939,0.030465,-0.0474507
52,-0.139173,-1.21669e-08,-0.1326,0.0005,180,8,179.784,7.61991,0.0464404,-0.019246
53,-0.0695865,-0.120527,-0.0739,-0.1193,240,8,238.224,8.06718,0.0306488,0.00876494
54,0.0695865,-0.120527,0.0704,-0.1205,300,8,300.295,8.02226,-0.0036668,0.00941863
55,0.156434,-7.75997e-17,0.1556,0.003,-2.84217e-14,9,1.10454,8.95326,-0.0233468,-0.0182487
56,0.0782172,0.135476,0.0756,0.1359,60,9,60.9132,8.94652,-0.00463083,-0.0511117
57,-0.0782172,0.135476,-0.0785,0.1349,120,9,120.196,8.97932,0.0326015,-0.0506621
58,-0.156434,-1.36759e-08,-0.1562,0.0001,180,9,179.963,8.9864,0.050744,-0.0192557
59,-0.0782172,-0.135476,-0.083,-0.1277,240,9,236.978,8.76042,0.0330897,0.0122
60,0.0782172,-0.135476,0.0783,-0.1365,300,9,299.84,9.05386,-0.00562154,0.0128863
61,0.173648,-8.61386e-17,0.1757,0,-2.84217e-14,10,0,10.1194,-0.0275812,-0.0188225
62,0.0868241,0.150384,0.0796,0.1501,60,10,62.0624,9.78203,-0.00679858,-0.0541712
63,-0.0868241,0.150384,-0.083,0.1482,120,10,119.251,9.77966,0.0338981,-0.0542456
