id,X,Y,azimuth,elevation,x_light,y_light,new_indexes
405,-0.3103,0.55838,119.0616,39.7029,0.1024,-0.1536,282
385,-0.5903,0.44232,143.1553,47.5301,0.1792,-0.128,283
384,-0.50456,0.44617,138.5145,42.3404,0.1536,-0.128,284
361,-0.51173,0.35991,144.8805,38.7279,0.1536,-0.1024,285
352,0.36951,0.36227,44.4332,31.1628,-0.0768,-0.1024,286
350,0.55444,0.34457,31.8599,40.7521,-0.128,-0.1024,287
337,-0.4312,0.26654,148.2783,30.4595,0.128,-0.0768,288
331,0.17384,0.27071,57.2929,18.767,-0.0256,-0.0768,289
303,0.64914,0.14308,12.4301,41.661,-0.1536,-0.0512,290
310,-0.03301,0.16386,101.3899,9.6223,0.0256,-0.0512,291
314,-0.43717,0.16127,159.7512,27.7728,0.128,-0.0512,292
292,-0.53101,0.05755,173.8145,32.2842,0.1536,-0.0256,293
293,-0.61954,0.05919,174.5426,38.4888,0.1792,-0.0256,294
269,-0.53368,-0.03902,184.1817,32.351,0.1536,0.0,295
280,0.65513,0.04546,3.9694,41.0491,-0.1536,-0.0256,296
279,0.73312,0.04967,3.876,47.2904,-0.1792,-0.0256,297
274,-0.90006,-0.01478,180.9408,64.1819,0.2816,0.0,298
442,0.51139,0.68979,53.4479,59.1686,-0.128,-0.2048,299
407,-0.49194,0.54166,132.246,47.03,0.1536,-0.1536,300
408,-0.57253,0.53004,137.2069,51.2801,0.1792,-0.1536,301
409,-0.65573,0.52164,141.4974,56.9199,0.2048,-0.1536,302
360,-0.42292,0.36424,139.2633,33.928,0.128,-0.1024,303
359,-0.3294,0.37078,131.6178,29.7335,0.1024,-0.1024,304
353,0.27609,0.36658,53.0147,27.3174,-0.0512,-0.1024,305
349,0.6343,0.33683,27.9695,45.9049,-0.1536,-0.1024,306
338,-0.52546,0.25943,153.7235,35.8746,0.1536,-0.0768,307
330,0.27762,0.26797,43.9867,22.6966,-0.0512,-0.0768,308
304,0.56445,0.14963,14.847,35.7286,-0.128,-0.0512,309
309,0.06965,0.16129,66.6438,10.1186,0.0,-0.0512,310
315,-0.52918,0.1562,163.5548,33.4873,0.1536,-0.0512,311
290,-0.34553,0.05835,170.4148,20.5131,0.1024,-0.0256,312
291,-0.44,0.05755,172.5483,26.3432,0.128,-0.0256,313
282,0.47818,0.05339,6.3708,28.7606,-0.1024,-0.0256,314
281,0.56834,0.05104,5.1317,34.794,-0.128,-0.0256,315
278,0.80926,0.04661,3.2964,54.1547,-0.2048,-0.0256,316
277,0.88555,0.04284,2.7696,62.4473,-0.2304,-0.0256,317
441,0.59581,0.67584,48.6011,64.286,-0.1536,-0.2048,318
411,-0.78057,0.50102,147.305,68.0529,0.256,-0.1536,319
410,-0.72229,0.51042,144.7523,62.1825,0.2304,-0.1536,320
358,-0.22826,0.37236,121.5087,25.897,0.0768,-0.1024,321
355,0.07283,0.3763,79.0463,22.5372,0.0,-0.1024,322
354,0.17301,0.37402,65.1762,24.3366,-0.0256,-0.1024,323
348,0.71658,0.32801,24.5956,52.0069,-0.1792,-0.1024,324
339,-0.6095,0.25762,157.0875,41.4303,0.1792,-0.0768,325
329,0.37571,0.26309,35.0015,27.3011,-0.0768,-0.0768,326
305,0.47613,0.15335,17.8525,30.0143,-0.1024,-0.0512,327
308,0.17445,0.1613,42.7571,13.7445,-0.0256,-0.0512,328
316,-0.61399,0.15427,165.8959,39.2773,0.1792,-0.0512,329
289,-0.24156,0.05503,167.1664,14.3443,0.0768,-0.0256,330
